[1] instruction : push / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x80000000, IP = 0x0, SP = 0x80000000, LR = 0x86cc, PC = 0x85d0, CPSR = 0x400001d3 / modified register : ['sp'] / memory data : \x0\x48\x2d\xe9
[34] instruction : str / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x8684, PC = 0x8548, CPSR = 0x200001d3 / modified register : [] / memory data : \x18\x0\xb\xe5
[35] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x8684, PC = 0x854c, CPSR = 0x200001d3 / modified register : ['r1'] / memory data : \x70\x10\x9f\xe5
[36] instruction : ldr / register data :R0 = 0x0, R1 = 0x13ca4, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x8684, PC = 0x8550, CPSR = 0x200001d3 / modified register : ['r0'] / memory data : \x70\x0\x9f\xe5
[37] instruction : bl / register data :R0 = 0x13ca8, R1 = 0x13ca4, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x8684, PC = 0x8554, CPSR = 0x200001d3 / modified register : ['lr', 'pc'] / memory data : \xb9\x2\x0\xeb
[38] instruction : mov / register data :R0 = 0x13ca8, R1 = 0x13ca4, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x8558, PC = 0x9040, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x0\x30\xa0\xe1
[39] instruction : mov / register data :R0 = 0x13ca8, R1 = 0x13ca4, R2 = 0x0, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x8558, PC = 0x9044, CPSR = 0x200001d3 / modified register : ['r2'] / memory data : \x1\x20\xa0\xe1
[40] instruction : ldr / register data :R0 = 0x13ca8, R1 = 0x13ca4, R2 = 0x13ca4, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x8558, PC = 0x9048, CPSR = 0x200001d3 / modified register : ['r1'] / memory data : \x8\x10\x9f\xe5
[41] instruction : ldr / register data :R0 = 0x13ca8, R1 = 0x24138, R2 = 0x13ca4, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x8558, PC = 0x904c, CPSR = 0x200001d3 / modified register : ['r0'] / memory data : \x0\x0\x91\xe5
[42] instruction : mov / register data :R0 = 0x11f07, R1 = 0x24138, R2 = 0x13ca4, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x8558, PC = 0x9050, CPSR = 0x200001d3 / modified register : ['r1'] / memory data : \x3\x10\xa0\xe1
[43] instruction : b / register data :R0 = 0x11f07, R1 = 0x13ca8, R2 = 0x13ca4, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x8558, PC = 0x9054, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \xba\xff\xff\xea
[44] instruction : mov / register data :R0 = 0x11f07, R1 = 0x13ca8, R2 = 0x13ca4, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x8558, PC = 0x8f44, CPSR = 0x200001d3 / modified register : ['ip'] / memory data : \x2\xc0\xa0\xe1
[45] instruction : push / register data :R0 = 0x11f07, R1 = 0x13ca8, R2 = 0x13ca4, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffd0, LR = 0x8558, PC = 0x8f48, CPSR = 0x200001d3 / modified register : ['sp'] / memory data : \xf0\x40\x2d\xe9
[46] instruction : sub / register data :R0 = 0x11f07, R1 = 0x13ca8, R2 = 0x13ca4, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffbc, LR = 0x8558, PC = 0x8f4c, CPSR = 0x200001d3 / modified register : ['sp'] / memory data : \xc\xd0\x4d\xe2
[47] instruction : mov / register data :R0 = 0x11f07, R1 = 0x13ca8, R2 = 0x13ca4, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffb0, LR = 0x8558, PC = 0x8f50, CPSR = 0x200001d3 / modified register : ['r7'] / memory data : \x1\x70\xa0\xe1
[48] instruction : add / register data :R0 = 0x11f07, R1 = 0x13ca8, R2 = 0x13ca4, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffb0, LR = 0x8558, PC = 0x8f54, CPSR = 0x200001d3 / modified register : ['r2'] / memory data : \x4\x20\x8d\xe2
[49] instruction : mov / register data :R0 = 0x11f07, R1 = 0x13ca8, R2 = 0x7fffffb4, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffb0, LR = 0x8558, PC = 0x8f58, CPSR = 0x200001d3 / modified register : ['r1'] / memory data : \xc\x10\xa0\xe1
[50] instruction : mov / register data :R0 = 0x11f07, R1 = 0x13ca4, R2 = 0x7fffffb4, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffb0, LR = 0x8558, PC = 0x8f5c, CPSR = 0x200001d3 / modified register : ['r6'] / memory data : \x0\x60\xa0\xe1
[51] instruction : bl / register data :R0 = 0x11f07, R1 = 0x13ca4, R2 = 0x7fffffb4, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffb0, LR = 0x8558, PC = 0x8f60, CPSR = 0x200001d3 / modified register : ['lr', 'pc'] / memory data : \x67\x16\x0\xeb
[52] instruction : str / register data :R0 = 0x11f07, R1 = 0x13ca4, R2 = 0x7fffffb4, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffb0, LR = 0x8f64, PC = 0xe904, CPSR = 0x200001d3 / modified register : ['sp'] / memory data : \x4\xe0\x2d\xe5
[53] instruction : ldrb / register data :R0 = 0x11f07, R1 = 0x13ca4, R2 = 0x7fffffb4, R3 = 0x13ca8, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffac, LR = 0x8f64, PC = 0xe908, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x0\x30\xd1\xe5
[54] instruction : cmp / register data :R0 = 0x11f07, R1 = 0x13ca4, R2 = 0x7fffffb4, R3 = 0x77, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffac, LR = 0x8f64, PC = 0xe90c, CPSR = 0x200001d3 / modified register : ['cpsr'] / memory data : \x72\x0\x53\xe3
[55] instruction : beq / register data :R0 = 0x11f07, R1 = 0x13ca4, R2 = 0x7fffffb4, R3 = 0x77, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffac, LR = 0x8f64, PC = 0xe910, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x2b\x0\x0\xa
[56] instruction : cmp / register data :R0 = 0x11f07, R1 = 0x13ca4, R2 = 0x7fffffb4, R3 = 0x77, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffac, LR = 0x8f64, PC = 0xe914, CPSR = 0x200001d3 / modified register : ['cpsr'] / memory data : \x77\x0\x53\xe3
[57] instruction : beq / register data :R0 = 0x11f07, R1 = 0x13ca4, R2 = 0x7fffffb4, R3 = 0x77, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffac, LR = 0x8f64, PC = 0xe918, CPSR = 0x600001d3 / modified register : ['pc'] / memory data : \x7\x0\x0\xa
[58] instruction : mov / register data :R0 = 0x11f07, R1 = 0x13ca4, R2 = 0x7fffffb4, R3 = 0x77, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffac, LR = 0x8f64, PC = 0xe93c, CPSR = 0x600001d3 / modified register : ['lr'] / memory data : \x6\xec\xa0\xe3
[59] instruction : mov / register data :R0 = 0x11f07, R1 = 0x13ca4, R2 = 0x7fffffb4, R3 = 0x77, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x13ca4, SP = 0x7fffffac, LR = 0x600, PC = 0xe940, CPSR = 0x600001d3 / modified register : ['ip'] / memory data : \x1\xc0\xa0\xe3
[60] instruction : mov / register data :R0 = 0x11f07, R1 = 0x13ca4, R2 = 0x7fffffb4, R3 = 0x77, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x1, SP = 0x7fffffac, LR = 0x600, PC = 0xe944, CPSR = 0x600001d3 / modified register : ['r0'] / memory data : \x8\x0\xa0\xe3
[61] instruction : ldrb / register data :R0 = 0x8, R1 = 0x13ca4, R2 = 0x7fffffb4, R3 = 0x77, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x1, SP = 0x7fffffac, LR = 0x600, PC = 0xe948, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \x1\x30\xd1\xe5
[62] instruction : cmp / register data :R0 = 0x8, R1 = 0x13ca4, R2 = 0x7fffffb4, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x1, SP = 0x7fffffac, LR = 0x600, PC = 0xe94c, CPSR = 0x600001d3 / modified register : ['cpsr'] / memory data : \x0\x0\x53\xe3
[63] instruction : add / register data :R0 = 0x8, R1 = 0x13ca4, R2 = 0x7fffffb4, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x1, SP = 0x7fffffac, LR = 0x600, PC = 0xe950, CPSR = 0x600001d3 / modified register : ['r1'] / memory data : \x1\x10\x81\xe2
[64] instruction : bne / register data :R0 = 0x8, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x1, SP = 0x7fffffac, LR = 0x600, PC = 0xe954, CPSR = 0x600001d3 / modified register : ['pc'] / memory data : \x3\x0\x0\x1a
[65] instruction : b / register data :R0 = 0x8, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x1, SP = 0x7fffffac, LR = 0x600, PC = 0xe958, CPSR = 0x600001d3 / modified register : ['pc'] / memory data : \x11\x0\x0\xea
[66] instruction : orr / register data :R0 = 0x8, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x1, SP = 0x7fffffac, LR = 0x600, PC = 0xe9a4, CPSR = 0x600001d3 / modified register : ['ip'] / memory data : \xc\xc0\x8e\xe1
[67] instruction : str / register data :R0 = 0x8, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffffac, LR = 0x600, PC = 0xe9a8, CPSR = 0x600001d3 / modified register : [] / memory data : \x0\xc0\x82\xe5
[68] instruction : pop / register data :R0 = 0x8, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffffac, LR = 0x600, PC = 0xe9ac, CPSR = 0x600001d3 / modified register : ['sp', 'lr'] / memory data : \x4\xe0\x9d\xe4
[69] instruction : bx / register data :R0 = 0x8, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffffb0, LR = 0x8f64, PC = 0xe9b0, CPSR = 0x600001d3 / modified register : ['pc'] / memory data : \x1e\xff\x2f\xe1
[70] instruction : subs / register data :R0 = 0x8, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffffb0, LR = 0x8f64, PC = 0x8f64, CPSR = 0x600001d3 / modified register : ['r5'] / memory data : \x0\x50\x50\xe2
[71] instruction : beq / register data :R0 = 0x8, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x0, R4 = 0x0, R5 = 0x8, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffffb0, LR = 0x8f64, PC = 0x8f68, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x1b\x0\x0\xa
[72] instruction : mov / register data :R0 = 0x8, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x0, R4 = 0x0, R5 = 0x8, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffffb0, LR = 0x8f64, PC = 0x8f6c, CPSR = 0x200001d3 / modified register : ['r0'] / memory data : \x6\x0\xa0\xe1
[73] instruction : bl / register data :R0 = 0x11f07, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x0, R4 = 0x0, R5 = 0x8, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffffb0, LR = 0x8f64, PC = 0x8f70, CPSR = 0x200001d3 / modified register : ['lr', 'pc'] / memory data : \x7a\xff\xff\xeb
[74] instruction : ldr / register data :R0 = 0x11f07, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x0, R4 = 0x0, R5 = 0x8, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffffb0, LR = 0x8f74, PC = 0x8d60, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x4\x31\x9f\xe5
[75] instruction : push / register data :R0 = 0x11f07, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x13cc8, R4 = 0x0, R5 = 0x8, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffffb0, LR = 0x8f74, PC = 0x8d64, CPSR = 0x200001d3 / modified register : ['sp'] / memory data : \xf0\x41\x2d\xe9
[76] instruction : ldr / register data :R0 = 0x11f07, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x13cc8, R4 = 0x0, R5 = 0x8, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffff98, LR = 0x8f74, PC = 0x8d68, CPSR = 0x200001d3 / modified register : ['r8'] / memory data : \x0\x80\x93\xe5
[77] instruction : ldr / register data :R0 = 0x11f07, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x13cc8, R4 = 0x0, R5 = 0x8, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x24140, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffff98, LR = 0x8f74, PC = 0x8d6c, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x38\x30\x98\xe5
[78] instruction : cmp / register data :R0 = 0x11f07, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x61, R4 = 0x0, R5 = 0x8, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x24140, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffff98, LR = 0x8f74, PC = 0x8d70, CPSR = 0x200001d3 / modified register : ['cpsr'] / memory data : \x0\x0\x53\xe3
[79] instruction : mov / register data :R0 = 0x11f07, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x61, R4 = 0x0, R5 = 0x8, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x24140, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffff98, LR = 0x8f74, PC = 0x8d74, CPSR = 0x200001d3 / modified register : ['r6'] / memory data : \x0\x60\xa0\xe1
[80] instruction : beq / register data :R0 = 0x11f07, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x61, R4 = 0x0, R5 = 0x8, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x24140, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffff98, LR = 0x8f74, PC = 0x8d78, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x25\x0\x0\xa
[81] instruction : mov / register data :R0 = 0x11f07, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x61, R4 = 0x0, R5 = 0x8, R6 = 0x11f07, R7 = 0x13ca8, R8 = 0x24140, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffff98, LR = 0x8f74, PC = 0x8d7c, CPSR = 0x200001d3 / modified register : ['r7'] / memory data : \x4\x70\xa0\xe3
[82] instruction : add / register data :R0 = 0x11f07, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x61, R4 = 0x0, R5 = 0x8, R6 = 0x11f07, R7 = 0x4, R8 = 0x24140, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffff98, LR = 0x8f74, PC = 0x8d80, CPSR = 0x200001d3 / modified register : ['r8'] / memory data : \x2e\x8e\x88\xe2
[83] instruction : ldmib / register data :R0 = 0x11f07, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x61, R4 = 0x0, R5 = 0x8, R6 = 0x11f07, R7 = 0x4, R8 = 0x24420, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffff98, LR = 0x8f74, PC = 0x8d84, CPSR = 0x200001d3 / modified register : ['r3', 'r4'] / memory data : \x18\x0\x98\xe9
[84] instruction : subs / register data :R0 = 0x11f07, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x31e0b1c, R4 = 0xca040000, R5 = 0x8, R6 = 0x11f07, R7 = 0x4, R8 = 0x24420, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffff98, LR = 0x8f74, PC = 0x8d88, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x1\x30\x53\xe2
[85] instruction : bpl / register data :R0 = 0x11f07, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x31e0b1b, R4 = 0xca040000, R5 = 0x8, R6 = 0x11f07, R7 = 0x4, R8 = 0x24420, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffff98, LR = 0x8f74, PC = 0x8d8c, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x3\x0\x0\x5a
[86] instruction : ldrsh / register data :R0 = 0x11f07, R1 = 0x13ca5, R2 = 0x7fffffb4, R3 = 0x31e0b1b, R4 = 0xca040000, R5 = 0x8, R6 = 0x11f07, R7 = 0x4, R8 = 0x24420, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x601, SP = 0x7fffff98, LR = 0x8f74, PC = 0x8da0, CPSR = 0x200001d3 / modified register : ['r5'] / memory data : \xfc\x50\xd4\xe1
ERROR: Invalid memory read (UC_ERR_READ_UNMAPPED)
[1] instruction : push / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x80000000, IP = 0x0, SP = 0x80000000, LR = 0x86cc, PC = 0x85d0, CPSR = 0x400001d3 / modified register : ['sp'] / memory data : \x0\x48\x2d\xe9
[2] instruction : add / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x80000000, IP = 0x0, SP = 0x7ffffff8, LR = 0x86cc, PC = 0x85d4, CPSR = 0x400001d3 / modified register : ['fp'] / memory data : \x4\xb0\x8d\xe2
[3] instruction : sub / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff8, LR = 0x86cc, PC = 0x85d8, CPSR = 0x400001d3 / modified register : ['sp'] / memory data : \x8\xd0\x4d\xe2
[4] instruction : mov / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85dc, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \x1\x30\xa0\xe3
[5] instruction : strb / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85e0, CPSR = 0x400001d3 / modified register : [] / memory data : \x5\x30\x4b\xe5
[6] instruction : ldrb / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85e4, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \x5\x30\x5b\xe5
[7] instruction : cmp / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85e8, CPSR = 0x400001d3 / modified register : ['cpsr'] / memory data : \x0\x0\x53\xe3
[8] instruction : beq / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85ec, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x24\x0\x0\xa
[9] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85f0, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x9c\x30\x9f\xe5
